"env_package","long_name","pos","definition","requirement","ctime"
"human-skin","host occupation",22,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","medical history performed",23,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","host pulse",26,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","perturbation",27,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","sample salinity",28,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","oxygenation status of sample",29,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","temperature",30,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","organism count",31,"","X","2009-11-04 21:26:38.477375+01"
"human-skin","sample volume or weight for DNA extraction",32,"","X","2012-01-24 15:31:12.650885+01"
"human-skin","sample storage temperature",33,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","sample storage duration",34,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","sample storage location",35,"","X","2009-10-27 11:49:00.428328+01"
"human-skin","miscellaneous parameter",36,"","X","2009-11-07 14:19:47.206104+01"
"human-vaginal","menarche",1,"","X","2009-10-26 23:51:00.040593+01"
"human-vaginal","sexual activity",2,"","X","2009-10-26 23:51:00.040593+01"
"human-vaginal","pregnancy",3,"","X","2009-10-26 23:51:00.040593+01"
"human-vaginal","douche",4,"","X","2009-10-26 23:51:00.040593+01"
"human-vaginal","birth control",5,"","X","2009-10-26 23:51:00.040593+01"
"human-vaginal","menopause",6,"","X","2009-10-26 23:51:00.040593+01"
"human-vaginal","HRT",7,"","X","2009-10-26 23:51:00.040593+01"
"human-vaginal","hysterectomy",8,"","X","2009-10-26 23:51:00.040593+01"
"human-vaginal","gynecological disorder",9,"","X","2009-10-26 23:51:00.040593+01"
"human-vaginal","urogenital disorder",10,"","X","2009-10-26 23:51:00.040593+01"
"human-vaginal","host subject id",11,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host age",12,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host sex",13,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host disease status",14,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","IHMC medication code",15,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","chemical administration",16,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host body site",17,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host body product",18,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host total mass",19,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host height",20,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host diet",21,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host last meal",22,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host family relationship",23,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host genotype",24,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host phenotype",25,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host body temperature",26,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host body-mass index",27,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","IHMC ethnicity",28,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host occupation",29,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","medical history performed",30,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","host pulse",33,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","perturbation",34,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","sample salinity",35,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","oxygenation status of sample",36,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","temperature",37,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","organism count",38,"","X","2009-11-04 21:26:59.377754+01"
"human-vaginal","sample volume or weight for DNA extraction",39,"","X","2012-01-24 15:31:12.650885+01"
"human-vaginal","sample storage temperature",40,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","sample storage location",41,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","sample storage duration",42,"","X","2009-10-27 11:50:37.043572+01"
"human-vaginal","miscellaneous parameter",43,"","X","2009-11-07 14:19:47.206104+01"
"microbial mat/biofilm","altitude",0,"","C","2010-06-04 14:20:00.737588+02"
"microbial mat/biofilm","depth",0,"","M","2010-06-04 14:20:00.737588+02"
"microbial mat/biofilm","elevation",0,"","M","2010-06-04 14:20:00.737588+02"
"microbial mat/biofilm","alkalinity",1,"","X","2009-11-04 23:27:36.140653+01"
"microbial mat/biofilm","alkyl diethers",1,"","X","2009-11-04 23:27:36.140653+01"
"microbial mat/biofilm","aminopeptidase activity",1,"","X","2009-11-04 23:27:36.140653+01"
"microbial mat/biofilm","ammonium",1,"","X","2009-11-04 23:27:36.140653+01"
"microbial mat/biofilm","bacterial carbon production",1,"","X","2009-11-04 23:27:36.140653+01"
"microbial mat/biofilm","biomass",1,"","X","2009-11-04 23:27:36.140653+01"
"microbial mat/biofilm","bishomohopanol",1,"","X","2009-11-04 23:27:36.140653+01"
"microbial mat/biofilm","bromide",1,"","X","2009-11-04 23:27:36.140653+01"
"microbial mat/biofilm","calcium",1,"","X","2009-11-04 23:27:36.140653+01"
"microbial mat/biofilm","carbon/nitrogen ratio",1,"","X","2009-11-04 23:27:36.140653+01"
"microbial mat/biofilm","chemical administration",1,"","X","2009-11-04 23:27:36.140653+01"
"microbial mat/biofilm","chloride",1,"","X","2009-11-04 23:28:28.803765+01"
"microbial mat/biofilm","chlorophyll",1,"","X","2009-11-04 23:28:28.803765+01"
"microbial mat/biofilm","diether lipids",1,"","X","2009-11-04 23:28:28.803765+01"
"microbial mat/biofilm","dissolved carbon dioxide",1,"","X","2009-11-04 23:28:28.803765+01"
"microbial mat/biofilm","dissolved hydrogen",1,"","X","2009-11-04 23:28:28.803765+01"
"microbial mat/biofilm","dissolved inorganic carbon",1,"","X","2010-05-26 13:44:02.989491+02"
"microbial mat/biofilm","dissolved organic carbon",1,"","X","2009-11-04 23:28:28.803765+01"
"microbial mat/biofilm","dissolved organic nitrogen",1,"","X","2010-05-26 14:07:11.95642+02"
"microbial mat/biofilm","dissolved oxygen",1,"","X","2009-11-04 23:28:28.803765+01"
"microbial mat/biofilm","glucosidase activity",1,"","X","2009-11-04 23:28:28.803765+01"
"microbial mat/biofilm","magnesium",1,"","X","2009-11-04 23:28:28.803765+01"
"microbial mat/biofilm","mean friction velocity",1,"","X","2009-11-04 23:28:28.803765+01"
"microbial mat/biofilm","mean peak friction velocity",1,"","X","2009-11-04 23:28:28.803765+01"
"microbial mat/biofilm","methane",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","miscellaneous parameter",1,"","X","2009-11-07 14:19:47.206104+01"
"microbial mat/biofilm","n-alkanes",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","nitrate",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","nitrite",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","nitrogen",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","organic carbon",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","organic matter",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","organic nitrogen",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","organism count",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","oxygenation status of sample",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","pH",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","particulate organic carbon",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","perturbation",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","petroleum hydrocarbon",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","phaeopigments",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","phosphate",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","phospholipid fatty acid",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","potassium",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","pressure",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","redox potential",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","salinity",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","sample storage duration",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","sample storage location",1,"","X","2009-11-04 23:29:09.3895+01"
"microbial mat/biofilm","sample storage temperature",1,"","X","2009-11-04 23:29:59.260199+01"
"microbial mat/biofilm","sample volume or weight for DNA extraction",1,"","X","2012-01-24 15:31:12.650885+01"
"microbial mat/biofilm","silicate",1,"","X","2009-11-04 23:29:59.260199+01"
"microbial mat/biofilm","sodium",1,"","X","2010-05-26 13:34:57.181084+02"
"microbial mat/biofilm","sulfate",1,"","X","2009-11-04 23:29:59.260199+01"
"microbial mat/biofilm","sulfide",1,"","X","2009-11-04 23:29:59.260199+01"
"microbial mat/biofilm","temperature",1,"","X","2009-11-04 23:29:59.260199+01"
"microbial mat/biofilm","total carbon",1,"","X","2009-11-04 23:29:59.260199+01"
"microbial mat/biofilm","total nitrogen",1,"total nitrogen content of the sample","X","2009-11-10 15:50:43.932136+01"
"microbial mat/biofilm","total organic carbon",1,"","X","2009-11-04 23:29:59.260199+01"
"microbial mat/biofilm","turbidity",1,"","X","2009-11-04 23:29:59.260199+01"
"microbial mat/biofilm","water content",1,"","X","2009-11-04 23:26:05.97104+01"
"miscellaneous natural or artificial environment","altitude",0,"","C","2010-06-04 14:20:00.737588+02"
"miscellaneous natural or artificial environment","depth",0,"","C","2010-06-04 14:20:00.737588+02"
"miscellaneous natural or artificial environment","elevation",0,"","C","2010-06-04 14:20:00.737588+02"
"miscellaneous natural or artificial environment","alkalinity",1,"","X","2009-11-05 00:03:58.264643+01"
"miscellaneous natural or artificial environment","ammonium",1,"","X","2009-11-05 00:03:58.264643+01"
"miscellaneous natural or artificial environment","biomass",1,"","X","2009-11-05 00:03:58.264643+01"
"miscellaneous natural or artificial environment","bromide",1,"","X","2009-11-05 00:03:58.264643+01"
"miscellaneous natural or artificial environment","calcium",1,"","X","2009-11-05 00:03:58.264643+01"
