"package_name","long_name","short_name","requirement","expected_value","occurrence","syntax","preferred_unit","definition","pos","ctime"
"air","sample volume or weight for DNA extraction","samp_vol_we_dna_ext","X","measurement value","1","{float} {unit}","millliter, gram, milligram","volume (mL) or weight (g) of sample processed for DNA extraction",1,"2009-10-25 21:05:58.465538+01"
"air","solar irradiance","solar_irradiance","X","measurement value","1","{float} {unit}","watts per square meter, ergs per square centimeter per second","the amount of solar energy that arrives at a specific area of a surface during a specific time interval",1,"2009-10-25 21:05:58.465538+01"
"air","temperature","temp","X","measurement value","1","{float} {unit}","degree Celsius","temperature of the sample at time of sampling",1,"2009-10-25 21:05:58.465538+01"
"air","ventilation rate","ventilation_rate","X","measurement value","1","{float} {unit}","cubic meter per minute, liters per second","ventilation rate of the system in the sampled premises",1,"2009-10-25 21:05:58.465538+01"
"air","ventilation type","ventilation_type","X","ventilation type name","1","{text}","","ventilation system used in the sampled premises",1,"2009-10-25 21:05:58.465538+01"
"air","volatile organic compounds","volatile_org_comp","X","volatile organic compound name;measurement value","m","{text};{float} {unit}","microgram per cubic meter, parts per million","concentration of carbon-based chemicals that easily evaporate at room temperature; can report multiple volatile organic compounds by entering numeric values preceded by name of compound",1,"2009-10-25 21:05:58.465538+01"
"air","wind direction","wind_direction","X","wind direction name","1","{text}","","wind direction is the direction from which a wind originates",1,"2009-10-25 21:05:58.465538+01"
"air","wind speed","wind_speed","X","measurement value","1","{float} {unit}","meter per second, kilometer per hour","speed of wind measured at the time of sampling",1,"2009-10-25 21:05:58.465538+01"
"built environment","surface material","surf_material","E","enumeration","1","[concrete|wood|stone|tile|plastic|glass|vinyl|metal|carpet|stainless steel|paint|cinder blocks|hay bales|stucco|adobe]","","surface materials at the point of sampling",1,"2013-02-26 15:11:38.23994+01"
"built environment","surface-air contaminant","surf_air_cont","E","enumeration","m","[dust|organic matter|particulate matter|volatile organic compounds|biological contaminants|radon|nutrients|biocides]","","contaminant identified on surface",2,"2013-02-26 15:11:38.23994+01"
"built environment","relative air humidity","rel_air_humidity","M","measurement value","1","{float} {unit} [%]","percentage","partial vapor and air pressure, density of the vapor and air, or by the actual mass of the vapor and air",3,"2013-02-26 15:11:38.23994+01"
"built environment","absolute air humidity","abs_air_humidity","M","measurement value","1","{float} {unit} [kg|lb]","kilogram","actual mass of water vapor - mh20 - present in the air water vapor mixture",4,"2013-02-26 15:11:38.23994+01"
"built environment","surface humidity","surf_humidity","E","measurement value","1","{float} {unit} [%]","percentage","surfaces: water activity as a function of air and material moisture",5,"2013-02-26 15:11:38.23994+01"
"built environment","air temperature","air_temp","M","measurement value","1","{float} {unit} [deg C]","degree Celsius","temperature of the air at the time of sampling",6,"2013-02-26 15:11:38.23994+01"
"built environment","surface temperature","surf_temp","E","measurement value","1","{float} {unit} [deg C]","degree Celsius","temperature of the surface at the time of sampling",7,"2013-02-26 15:11:38.23994+01"
"built environment","surface moisture pH ","surf_moisture_ph","E","measurement value","1","{integer [0-14]}","","pH measurement of surface",8,"2013-02-26 15:11:38.23994+01"
"built environment","building occupancy type ","build_occup_type","M","enumeration","m","[office|market|restaurant|residence|school|residential|commercial|low rise|high rise|wood framed|office|health care|school|airport|sports complex]","","the primary function for which a building or discrete part of a building is intended to be used",9,"2013-02-26 15:11:38.23994+01"
"built environment","surface moisture","surf_moisture","E","measurement value","1","{float} {unit}","parts per million, gram per cubic meter, gram per square meter","water held on a surface",10,"2013-02-26 15:11:38.23994+01"
"built environment","dew point ","dew_point","X","measurement value","1","{float} {unit} [deg C]","gram, millimeter","the temperature to which a given parcel of humid air must be cooled, at constant barometric pressure, for water vapor to condense into water. ",11,"2013-02-26 15:11:38.23994+01"
"built environment","carbon dioxide","carb_dioxide","M","measurement value","1","{float} {unit}","micromole per liter","carbon dioxide (gas) amount or concentration at the time of sampling",12,"2009-10-25 21:05:58.465538+01"
"built environment","ventilation type","ventilation_type","M","ventilation type name","1","{text}","","ventilation system used in the sampled premises",13,"2009-10-25 21:05:58.465538+01"
"built environment","organism count","organism_count","M","organism name;measurement value","m","{text};{float} {unit}","number of organism per cubic meter","total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts",14,"2009-11-03 18:07:24.248799+01"
"built environment","indoor space ","indoor_space","M","enumeration","1","[bedroom|office|bathroom|foyer|kitchen|locker room|hallway|elevator]","","a distinguishable space within a structure, the purpose for which discrete areas of a building is used",15,"2013-02-26 15:11:38.23994+01"
"built environment","indoor surface","indoor_surf","E","enumeration","1","[counter top|window|wall|cabinet|ceiling|door|shelving|vent cover]","","type of indoor surface",16,"2013-02-26 15:11:38.23994+01"
"built environment","filter type","filter_type","M","enumeration","m","[particulate air filter|chemical air filter|low-MERV pleated media|HEPA|electrostatic|gas-phase or ultraviolet air treatments.]","","a device which removes solid particulates or airborne molecular contaminants",17,"2013-02-26 15:11:38.23994+01"
"built environment","heating and cooling system type","heat_cool_type","M","enumeration","m","[radiant system|heat pump|forced air system|steam forced heat|wood stove]","","methods of conditioning or heating a room or building",18,"2013-02-26 15:11:38.23994+01"
"built environment","substructure type ","substructure_type","X","enumeration","m","[crawlspace|slab on grade|basement]","","the substructure or under building is that largely hidden section of the building which is built off the foundations to the ground floor level",19,"2013-02-26 15:11:38.23994+01"
"built environment","building setting","building_setting","M","enumeration","1","[urban|suburban|exurban|or rural]","","a location (geography) where a building is set",20,"2013-02-26 15:11:38.23994+01"
"built environment","light type","light_type","M","enumeration","m","[natural light|electric light|or none]","","application of light to achieve some practical or aesthetic effect. Lighting includes the use of both artificial light sources such as lamps and light fixtures, as well as natural illumination by capturing daylight. Can also include absence of light",21,"2013-02-26 15:11:38.23994+01"
"built environment","sample size sorting method","samp_sort_meth","X","description of method","m","open face filter collecting total suspended particles, ""prefilter to remove particles larger than X micrometers in diameter, where common values of X would be 10 and 2.5 full size sorting in a cascade impactor""","","method by which samples are sorted",22,"2013-02-26 15:11:38.23994+01"
"built environment","space typical state ","space_typ_state","M","enumeration","1","[typical occupied|typically unoccupied]","","customary or normal state of the space",23,"2013-02-26 15:11:38.23994+01"
"built environment","typical occupant density","typ_occupant_dens","M","measurement value","1","{float}","","customary or normal density of occupants",24,"2013-02-26 15:11:38.23994+01"
"built environment","occupancy at sampling","occup_samp","M","measurement value","1","{integer}","","number of occupants present at time of sample within the given space",25,"2013-02-26 15:11:38.23994+01"
"built environment","occupant density at sampling","occupant_dens_samp","M","measurement value","1","{float}","","average number of occupants at time of sampling per square footage",26,"2013-02-26 15:11:38.23994+01"
"host-associated","altitude","alt","C","measurement value","1","{float} m","meter","the altitude of the sample is the vertical distance between Earth's surface above sea level and the sampled position in the air",0,"2010-06-04 11:53:30.774147+02"
"host-associated","depth","depth","C","measurement value","1","{float} m","","depth is defined as the vertical distance below local surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly. Depth can be reported as an interval for subsurface samples",0,"2010-06-04 11:50:13.589211+02"
"host-associated","elevation","elev","C","measurement value","1","{float} {unit}","meter","the elevation of the sampling site as measured by the vertical distance from mean sea level",0,"2010-06-04 11:54:28.264645+02"
"host-associated","host common name","host_common_name","X","common name","1","{text}","","common name of the host, e.g. human",1,"2009-10-25 21:05:58.465538+01"
"host-associated","host taxid","host_taxid","X","NCBI taxon identifier","1","{integer}","","NCBI taxon id of the host, e.g. 9606",2,"2009-10-25 21:05:58.465538+01"
"host-associated","host subject id","host_subject_id","X","unique identifier","1","{text}","","a unique identifier by which each subject can be referred to, de-identified, e.g. #131",3,"2009-10-25 21:05:58.465538+01"
"host-associated","host age","host_age","X","value","1","{float} {unit}","year, day, hour","age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees",4,"2009-10-25 21:05:58.465538+01"
"host-associated","host life stage","host_life_stage","X","stage","1","{text}","","description of life stage of host",5,"2009-11-17 22:29:35.443444+01"
"host-associated","host sex","host_sex","X","enumeration","1","[male|female|neuter|hermaphrodite|not determined]","","physical sex of the host",6,"2009-10-25 21:05:58.465538+01"
"host-associated","host disease status","host_disease_stat","X","disease name or DO","m","{term}","","list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology) at http://www.disease-ontology.org, other hosts are free text",7,"2009-10-25 21:05:58.465538+01"
"host-associated","chemical administration","chem_administration","X","CHEBI;timestamp","m","{term}; {timestamp}","","list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI",8,"2009-10-25 21:05:58.465538+01"
"host-associated","host body habitat","host_body_habitat","X","FMA","1","{term}","","original body habitat where the sample was obtained from",9,"2009-10-26 23:29:02.182885+01"
"host-associated","host body site","host_body_site","X","FMA","1","{term}","","name of body site where the sample was obtained from",10,"2009-10-25 21:05:58.465538+01"
"host-associated","host body product","host_body_product","X","FMA","1","{term}","","substance produced by the body, e.g. stool, mucus, where the sample was obtained from",11,"2009-10-25 21:05:58.465538+01"
"host-associated","host total mass","host_tot_mass","X","measurement value","1","{float} {unit}","kilogram, gram","total mass of the host at collection, the unit depends on host",12,"2009-10-25 21:05:58.465538+01"
"host-associated","host height","host_height","X","measurement value","1","{float} {unit}","centimeter, millimeter, meter","the height of subject",13,"2009-10-25 21:05:58.465538+01"
"host-associated","host length","host_length","X","measurement value","1","{float} {unit}","centimeter, millimeter, meter","the length of subject",13,"2009-10-25 21:05:58.465538+01"
"host-associated","host diet","host_diet","X","diet type","m","{text}","","type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types",14,"2009-10-25 21:05:58.465538+01"
"host-associated","host last meal","host_last_meal","X","content;time interval","m","{text};{period}","","content of last meal and time since feeding; can include multiple values",15,"2009-10-25 21:05:58.465538+01"
"host-associated","host growth conditions","host_growth_cond","X","PMID,DOI,url or free text","1","{PMID|DOI|URL}","","literature reference giving growth conditions of the host",16,"2009-10-25 21:05:58.465538+01"
"host-associated","host substrate","host_substrate","X","substrate name","1","{text}","","the growth substrate of the host ",17,"2009-10-25 21:05:58.465538+01"
"host-associated","host family relationship","host_family_relationship","X","relationship type;arbitrary identifier","m","{text};{text}","","relationships to other hosts in the same study; can include multiple relationships",18,"2009-10-25 21:05:58.465538+01"
"host-associated","host infra-specific name","host_infra_specific_name","X","name","1","{text}","","taxonomic information about the host below subspecies level",19,"2009-10-25 21:05:58.465538+01"
"host-associated","host infra-specific rank","host_infra_specific_rank","X","rank","1","{text}","","taxonomic rank information about the host below subspecies level, such as variety, form, rank etc.",20,"2009-10-25 21:05:58.465538+01"
"host-associated","host genotype","host_genotype","X","genotype","1","{text}","","observed genotype",21,"2009-10-25 21:05:58.465538+01"
"host-associated","host phenotype","host_phenotype","X","PATO","1","{term}","","phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO",22,"2009-10-25 21:05:58.465538+01"
"host-associated","host body temperature","host_body_temp","X","measurement value","1","{float} {unit}","degree Celsius","core body temperature of the host when sample was collected",23,"2009-10-25 21:05:58.465538+01"
"host-associated","host dry mass","host_dry_mass","X","measurement value","1","{float} {unit}","kilogram, gram","measurement of dry mass",24,"2009-10-25 21:05:58.465538+01"
"host-associated","host blood pressure diastolic","host_blood_press_diast","X","measurement value","1","{float} {unit}","millimeter mercury","resting diastolic blood pressure, measured as mm mercury",25,"2009-10-25 21:05:58.465538+01"
"host-associated","host blood pressure systolic","host_blood_press_syst","X","measurement value","1","{float} {unit}","millimeter mercury","resting systolic blood pressure, measured as mm mercury",26,"2009-10-25 21:05:58.465538+01"
"host-associated","host color","host_color","X","color","1","{text}","","the color of host",27,"2009-10-25 21:05:58.465538+01"
"host-associated","host shape","host_shape","X","shape","1","{text}","","morphological shape of host ",28,"2009-10-25 21:05:58.465538+01"
"host-associated","gravidity","gravidity","X","gravidity status;timestamp","1","{boolean};{timestamp}","","whether or not subject is gravid, and if yes date due or date post-conception, specifying which is used",29,"2009-10-26 23:29:02.182885+01"
"host-associated","perturbation","perturbation","X","perturbation type name;time interval","m","{text};{interval}","","type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types",30,"2009-10-25 21:05:58.465538+01"
"host-associated","sample salinity","samp_salinity","X","measurement value","1","{float} {unit}","practical salinity unit, percentage","salinity of sample, i.e. measure of total salt concentration",31,"2009-10-25 21:05:58.465538+01"
"host-associated","oxygenation status of sample","oxy_stat_samp","X","enumeration","1","[aerobic|anaerobic]","","oxygenation status of sample",32,"2009-10-25 21:05:58.465538+01"
"host-associated","temperature","temp","X","measurement value","1","{float} {unit}","degree Celsius","temperature of the sample at time of sampling",33,"2009-10-25 21:05:58.465538+01"
"host-associated","organism count","organism_count","X","organism name;measurement value","m","{text};{float} {unit}","number of organism per cubic meter","total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts",34,"2009-11-03 18:07:24.248799+01"
"host-associated","sample volume or weight for DNA extraction","samp_vol_we_dna_ext","X","measurement value","1","{float} {unit}","millliter, gram, milligram","volume (mL) or weight (g) of sample processed for DNA extraction",35,"2009-10-25 21:05:58.465538+01"
"host-associated","sample storage temperature","samp_store_temp","X","measurement value","1","{float} {unit}","degree Celsius","temperature at which sample was stored, e.g. -80 degree Celsius",36,"2009-10-25 21:05:58.465538+01"
"host-associated","sample storage duration","samp_store_dur","X","time interval","1","{interval}","","duration for which sample was stored",37,"2009-10-25 21:05:58.465538+01"
"host-associated","sample storage location","samp_store_loc","X","location name","1","{text}","","location at which sample was stored, usually name of a specific freezer/room",38,"2009-10-25 21:05:58.465538+01"
"host-associated","miscellaneous parameter","misc_param","X","parameter name;measurement value","m","{text};{float} {unit}","","any other measurement performed or parameter collected, that is not listed here",39,"2009-11-07 14:11:49.883241+01"
"human-associated","host subject id","host_subject_id","X","unique identifier","1","{text}","","a unique identifier by which each subject can be referred to, de-identified, e.g. #131",1,"2009-10-25 21:05:58.465538+01"
"human-associated","host age","host_age","X","value","1","{float} {unit}","year, day, hour","age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees",2,"2009-10-25 21:05:58.465538+01"
"human-associated","host sex","host_sex","X","enumeration","1","[male|female|neuter|hermaphrodite|not determined]","","physical sex of the host",3,"2009-10-25 21:05:58.465538+01"
"human-associated","host disease status","host_disease_stat","X","disease name or DO","m","{term}","","list of diseases with which the host has been diagnosed; can include multiple diagnoses. the value of the field depends on host; for humans the terms should be chosen from DO (Disease Ontology) at http://www.disease-ontology.org, other hosts are free text",4,"2009-10-25 21:05:58.465538+01"
"human-associated","IHMC medication code","ihmc_medication_code","X","IHMC code","m","{integer}","","can include multiple medication codes",5,"2009-10-25 21:05:58.465538+01"
"human-associated","chemical administration","chem_administration","X","CHEBI;timestamp","m","{term}; {timestamp}","","list of chemical compounds administered to the host or site where sampling occurred, and when (e.g. antibiotics, N fertilizer, air filter); can include multiple compounds. For Chemical Entities of Biological Interest ontology (CHEBI) (v 111), http://purl.bioontology.org/ontology/CHEBI",6,"2009-10-25 21:05:58.465538+01"
"human-associated","host body site","host_body_site","X","FMA","1","{term}","","name of body site where the sample was obtained from, such as a specific organ or tissue (tongue, lung etc...). For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA",7,"2009-10-25 21:05:58.465538+01"
"human-associated","host body product","host_body_product","X","FMA","1","{term}","","substance produced by the body, e.g. stool, mucus, where the sample was obtained from. For Foundational Model of Anatomy Ontology (FMA) (v 3.1) terms, please see http://purl.bioontology.org/ontology/FMA",8,"2009-10-25 21:05:58.465538+01"
"human-associated","host total mass","host_tot_mass","X","measurement value","1","{float} {unit}","kilogram, gram","total mass of the host at collection, the unit depends on host",9,"2009-10-25 21:05:58.465538+01"
"human-associated","host height","host_height","X","measurement value","1","{float} {unit}","centimeter, millimeter, meter","the height of subject",10,"2009-10-25 21:05:58.465538+01"
"human-associated","host diet","host_diet","X","diet type","m","{text}","","type of diet depending on the host, for animals omnivore, herbivore etc., for humans high-fat, meditteranean etc.; can include multiple diet types",11,"2009-10-25 21:05:58.465538+01"
"human-associated","host last meal","host_last_meal","X","content;time interval","m","{text};{period}","","content of last meal and time since feeding; can include multiple values",12,"2009-10-25 21:05:58.465538+01"
"human-associated","host family relationship","host_family_relationship","X","relationship type;arbitrary identifier","m","{text};{text}","","relationships to other hosts in the same study; can include multiple relationships",13,"2009-10-25 21:05:58.465538+01"
"human-associated","host genotype","host_genotype","X","genotype","1","{text}","","observed genotype",14,"2009-10-25 21:05:58.465538+01"
"human-associated","host phenotype","host_phenotype","X","PATO","1","{term}","","phenotype of host. For Phenotypic quality Ontology (PATO) (v 2013-10-28) terms, please see http://purl.bioontology.org/ontology/PATO",15,"2009-10-25 21:05:58.465538+01"
"human-associated","host body temperature","host_body_temp","X","measurement value","1","{float} {unit}","degree Celsius","core body temperature of the host when sample was collected",16,"2009-10-25 21:05:58.465538+01"
"human-associated","smoker","smoker","X","smoking status","1","{boolean}","","specification of smoking status",17,"2009-10-26 23:29:02.182885+01"
"human-associated","host HIV status","host_hiv_stat","X","HIV status;HAART initiation status","1","{boolean};{boolean}","","HIV status of subject, if yes HAART initiation status should also be indicated as [YES or NO]",18,"2009-10-26 23:29:02.182885+01"
"human-associated","drug usage","drug_usage","X","drug name;frequency","m","{text};{integer}/[year|month|week|day|hour]","","any drug used by subject and the frequency of usage; can include multiple drugs used",19,"2009-10-26 23:29:02.182885+01"
"human-associated","host body-mass index","host_body_mass_index","X","measurement value","1","{float} {unit}","kilogram per square meter","body mass index, calculated as weight/(height)squared",20,"2009-10-25 21:05:58.465538+01"
"human-associated","major diet change in last six months","diet_last_six_month","X","diet change;current diet","1","{boolean};{text}","","specification of major diet changes in the last six months, if yes the change should be specified",21,"2009-10-26 23:29:02.182885+01"
"human-associated","weight loss in last three months","weight_loss_3_month","X","weight loss specification;measurement value","1","{boolean};{float} {unit}","kilogram, gram","specification of weight loss in the last three months, if yes should be further specified to include amount of weight loss",22,"2009-10-26 23:29:02.182885+01"
"human-associated","IHMC ethnicity","ihmc_ethnicity","X","IHMC code or free text","1","{integer|text}","","ethnicity of the subject",23,"2009-10-25 21:05:58.465538+01"
"human-associated","host occupation","host_occupation","X","IHMC code","1","{integer}","","most frequent job performed by subject",24,"2009-10-25 21:05:58.465538+01"
"human-associated","presence of pets or farm animals","pet_farm_animal","X","presence status;type of animal or pet","m","{boolean};{text}","","specification of presence of pets or farm animals in the environment of subject, if yes the animals should be specified; can include multiple animals present",25,"2009-10-26 23:29:02.182885+01"
"human-associated","travel outside the country in last six months","travel_out_six_month","X","country name","m","{text}","","specification of the countries travelled in the last six months; can include multiple travels",26,"2009-10-26 23:29:02.182885+01"
"human-associated","twin sibling presence","twin_sibling","X","presence status","1","{boolean}","","specification of twin sibling presence",27,"2009-10-26 23:29:02.182885+01"
"human-associated","medical history performed","medic_hist_perform","X","true or false","1","{boolean}","","whether full medical history was collected",28,"2009-10-25 21:05:58.465538+01"
"human-associated","study completion status","study_complt_stat","X","YES or NO due to (1)adverse event (2) non-compliance (3) lost to follow up (4)other-specify","1","{boolean};[adverse event|non-compliance|lost to follow up|other-specify]","","specification of study completion status, if no the reason should be specified",29,"2009-10-26 23:29:02.182885+01"
"human-associated","lung/pulmonary disorder","pulmonary_disord","X","disorder name","m","{text}","","history of pulmonary disorders; can include multiple disorders",30,"2009-10-26 23:29:02.182885+01"
"human-associated","lung/nose-throat disorder","nose_throat_disord","X","disorder name","m","{text}","","history of nose-throat disorders; can include multiple disorders",31,"2009-10-26 23:29:02.182885+01"
"human-associated","blood/blood disorder","blood_blood_disord","X","disorder name","m","{text}","","history of blood disorders; can include multiple disorders",32,"2009-10-26 23:29:02.182885+01"
"human-associated","host pulse","host_pulse","X","measurement value","1","{float} {unit}","beats per minute","resting pulse, measured as beats per minute",35,"2009-10-25 21:05:58.465538+01"
"human-associated","amniotic fluid/gestation state","gestation_state","X","gestation state","1","{text}","","specification of the gestation state",36,"2009-10-26 23:29:02.182885+01"
"human-associated","amniotic fluid/maternal health status","maternal_health_stat","X","health status","1","{text}","","specification of the maternal health status",37,"2009-10-26 23:29:02.182885+01"
"human-associated","amniotic fluid/foetal health status","foetal_health_stat","X","health status","1","{text}","","specification of foetal health status, should also include abortion",38,"2009-10-26 23:29:02.182885+01"
"human-associated","amniotic fluid/color","amniotic_fluid_color","X","color","1","{text}","","specification of the color of the amniotic fluid sample",39,"2009-10-26 23:29:02.182885+01"
"human-associated","urine/kidney disorder","kidney_disord","X","disorder name","m","{text}","","history of kidney disorders; can include multiple disorders",40,"2009-10-26 23:29:02.182885+01"
"human-associated","urine/urogenital tract disorder","urogenit_tract_disor","X","disorder name","m","{text}","","history of urogenitaltract disorders; can include multiple disorders",41,"2009-10-26 23:29:02.182885+01"
"human-associated","urine/collection method","urine_collect_meth","X","enumeration","1","[clean catch|catheter]","","specification of urine collection method",43,"2009-10-26 23:29:02.182885+01"
"human-associated","perturbation","perturbation","X","perturbation type name;time interval","m","{text};{interval}","","type of perturbation, e.g. chemical administration, physical disturbance, etc., coupled with time that perturbation occurred; can include multiple perturbation types",44,"2009-10-25 21:05:58.465538+01"
"human-associated","sample salinity","samp_salinity","X","measurement value","1","{float} {unit}","practical salinity unit, percentage","salinity of sample, i.e. measure of total salt concentration",45,"2009-10-25 21:05:58.465538+01"
"human-associated","oxygenation status of sample","oxy_stat_samp","X","enumeration","1","[aerobic|anaerobic]","","oxygenation status of sample",46,"2009-10-25 21:05:58.465538+01"
"human-associated","temperature","temp","X","measurement value","1","{float} {unit}","degree Celsius","temperature of the sample at time of sampling",47,"2009-10-25 21:05:58.465538+01"
"human-associated","organism count","organism_count","X","organism name;measurement value","m","{text};{float} {unit}","number of organism per cubic meter","total count of any organism per gram or volume of sample,should include name of organism followed by count; can include multiple organism counts",48,"2009-11-03 18:07:24.248799+01"
"human-associated","sample volume or weight for DNA extraction","samp_vol_we_dna_ext","X","measurement value","1","{float} {unit}","millliter, gram, milligram","volume (mL) or weight (g) of sample processed for DNA extraction",49,"2009-10-25 21:05:58.465538+01"
"human-associated","sample storage temperature","samp_store_temp","X","measurement value","1","{float} {unit}","degree Celsius","temperature at which sample was stored, e.g. -80 degree Celsius",50,"2009-10-25 21:05:58.465538+01"
"human-associated","sample storage duration","samp_store_dur","X","time interval","1","{interval}","","duration for which sample was stored",51,"2009-10-25 21:05:58.465538+01"
"human-associated","sample storage location","samp_store_loc","X","location name","1","{text}","","location at which sample was stored, usually name of a specific freezer/room",52,"2009-10-25 21:05:58.465538+01"
"human-associated","miscellaneous parameter","misc_param","X","parameter name;measurement value","m","{text};{float} {unit}","","any other measurement performed or parameter collected, that is not listed here",53,"2009-11-07 14:11:49.883241+01"
"human-gut","gastrointestinal tract disorder","gastrointest_disord","X","disorder name","m","{text}","","history of gastrointestinal tract disorders; can include multiple disorders ",1,"2009-10-26 23:29:02.182885+01"
"human-gut","liver disorder","liver_disord","X","disorder name","m","{text}","","history of liver disorders; can include multiple disorders",2,"2009-10-26 23:29:02.182885+01"
"human-gut","special diet","special_diet","X","enumeration","m","[low carb|reduced calorie|vegetarian|other(to be specified)]","","specification of special diet; can include multiple special diets",3,"2009-10-26 23:29:02.182885+01"
"human-gut","host subject id","host_subject_id","X","unique identifier","1","{text}","","a unique identifier by which each subject can be referred to, de-identified, e.g. #131",4,"2009-10-25 21:05:58.465538+01"
"human-gut","host age","host_age","X","value","1","{float} {unit}","year, day, hour","age of host at the time of sampling; relevant scale depends on species and study, e.g. could be seconds for amoebae or centuries for trees",5,"2009-10-25 21:05:58.465538+01"
"human-gut","host sex","host_sex","X","enumeration","1","[male|female|neuter|hermaphrodite|not determined]","","physical sex of the host",6,"2009-10-25 21:05:58.465538+01"
